id,user_id,order_date,status,_etl_loaded_at
1,1,2018-01-01,returned,2023-11-18 02:11:07.777 -0800
2,3,2018-01-02,completed,2023-11-18 02:11:07.777 -0800
3,94,2018-01-04,completed,2023-11-18 02:11:07.777 -0800
4,50,2018-01-05,completed,2023-11-18 02:11:07.777 -0800
5,74,2018-01-05,completed,2023-11-18 02:11:07.777 -0800
6,54,2018-01-07,completed,2023-11-18 02:11:07.777 -0800
7,88,2018-01-09,completed,2023-11-18 02:11:07.777 -0800
8,2,2018-01-11,returned,2023-11-18 02:11:07.777 -0800
9,53,2018-01-12,completed,2023-11-18 02:11:07.777 -0800
10,7,2018-01-14,completed,2023-11-18 02:11:07.777 -0800
11,99,2018-01-14,completed,2023-11-18 02:11:07.777 -0800
12,59,2018-01-15,completed,2023-11-18 02:11:07.777 -0800
13,84,2018-01-17,completed,2023-11-18 02:11:07.777 -0800
14,40,2018-01-17,returned,2023-11-18 02:11:07.777 -0800
15,25,2018-01-17,completed,2023-11-18 02:11:07.777 -0800
16,39,2018-01-18,completed,2023-11-18 02:11:07.777 -0800
17,71,2018-01-18,completed,2023-11-18 02:11:07.777 -0800
18,64,2018-01-20,returned,2023-11-18 02:11:07.777 -0800
19,54,2018-01-22,completed,2023-11-18 02:11:07.777 -0800
20,85,2023-11-23,returned,2023-11-18 02:11:07.777 -0800
21,90,2023-11-23,completed,2023-11-18 02:11:07.777 -0800
22,96,2023-11-20,completed,2023-11-20 02:07:44.423 -0800
23,106,2023-11-20,returned,2023-11-21 01:49:28.864 -0800
24,107,2023-11-20,completed,2023-11-20 22:03:08.034 -0800
25,113,2023-11-20,returned,2023-12-11 15:36:41.510 +0530
26,109,2023-11-20,placed,2023-11-21 01:49:28.864 -0800
27,110,2023-11-29,returned,2023-11-29 22:20:38.478 -0800
28,111,2023-11-30,returned,2023-11-30 22:21:38.478 -0800
29,112,2023-11-30,returned,2023-12-11 15:18:55.972 +0530
30,115,2023-11-30,returned,2023-12-11 15:45:55.972 +0530
31,116,2023-11-30,returned,2023-12-26 15:13:55.972 +0530
32,116,2023-11-30,returned,2023-12-26 15:26:55.972 +0530
33,116,2023-11-30,returned,2023-12-26 15:33:55.972 +0530
34,116,2023-11-30,returned,2023-12-26 16:16:55.972 +0530
34,116,2023-11-30,returned,2023-12-26 16:16:55.972 +0530
35,117,2023-11-30,returned,2023-12-26 16:31:55.972 +0530
36,116,2023-11-30,shipped,2023-12-26 16:43:55.972 +0530
